Week,Location,Day,Start Time,End Time
20-25; 27-33,SCI 396,Mon;Wed,1899-12-30 14:00:00,1899-12-30 15:30:00
37,ART 203,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
20-25; 27-33,ART 206,Mon;Wed;Fri,1899-12-30 11:30:00,1899-12-30 12:30:00
17,LIB L317,Mon;Tue;Fri,1899-12-30 8:30:00,1899-12-30 12:30:00
15-Mar,SCI 236,Mon;Wed;Fri,1899-12-30 11:30:00,1899-12-30 12:30:00
15-Mar,EME 0050,Tue;Thu,1899-12-30 14:00:00,1899-12-30 15:30:00
11,ART 102,Tue,1899-12-30 17:00:00,1899-12-30 18:00:00
15-Mar,ART 382,Tue;Thu,1899-12-30 9:30:00,1899-12-30 11:00:00
20-25; 27-33,EME 2141,Fri,1899-12-30 11:30:00,1899-12-30 13:30:00
47-52,ART 281,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
26,ART 366,Wed,1899-12-30 7:00:00,1899-12-30 17:00:00
9,ART 114,Mon,1899-12-30 11:30:00,1899-12-30 12:30:00
35,ART 208,Mon,1899-12-30 17:00:00,1899-12-30 19:00:00
20-25; 27-33,FIP 138,Mon,1899-12-30 11:30:00,1899-12-30 12:30:00
20-25; 27-33,EME 1153,Tue;Thu,1899-12-30 12:30:00,1899-12-30 14:00:00
20-25; 27-33,EME 1151,Mon;Wed;Fri,1899-12-30 14:30:00,1899-12-30 15:30:00
22,ART 202,Fri,1899-12-30 13:00:00,1899-12-30 15:30:00
15-May,ART 204,Wed,1899-12-30 9:30:00,1899-12-30 11:00:00
11,ART 112,Fri,1899-12-30 14:30:00,1899-12-30 18:00:00
45; 52,SCI 337,Mon;Tue;Wed;Thu;Fri,1899-12-30 7:00:00,1899-12-30 22:00:00
15-Mar,ART 106,Mon;Wed;Fri,1899-12-30 9:30:00,1899-12-30 10:30:00
20-25; 27-33,ART 365,Tue;Thu,1899-12-30 8:00:00,1899-12-30 9:30:00
37-52,LIB L302,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
38,ART 214,Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
34-36,ART 104,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
17,SCI 236,Tue,1899-12-30 17:30:00,1899-12-30 21:30:00
20-25; 27-33,ART 108,Mon;Wed,1899-12-30 17:00:00,1899-12-30 18:30:00
22-24; 27-32,LIB L304,Fri,1899-12-30 11:30:00,1899-12-30 13:30:00
15-Mar,EME 2111,Mon;Wed,1899-12-30 12:30:00,1899-12-30 14:00:00
1,EME 0050,Mon;Tue;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
12,FIP 121,Tue,1899-12-30 14:00:00,1899-12-30 17:00:00
1,ART 374,Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
15-Mar,EME 2111,Tue;Thu,1899-12-30 12:30:00,1899-12-30 14:00:00
20-25; 27-33,LIB L317,Tue;Thu,1899-12-30 15:30:00,1899-12-30 17:00:00
22,FIP 139,Thu,1899-12-30 13:00:00,1899-12-30 14:00:00
15-Mar,ART 112,Tue,1899-12-30 12:30:00,1899-12-30 14:00:00
9,FIP 139,Thu,1899-12-30 12:30:00,1899-12-30 15:30:00
34-36,ART 219,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
9,LIB L305,Mon,1899-12-30 11:00:00,1899-12-30 12:30:00
25,ART 104,Fri,1899-12-30 10:00:00,1899-12-30 11:30:00
5,EME 1121,Fri,1899-12-30 17:00:00,1899-12-30 18:30:00
27,FIP 250,Wed,1899-12-30 18:00:00,1899-12-30 21:00:00
15-Mar,ASC 130,Tue;Thu,1899-12-30 12:30:00,1899-12-30 14:00:00
15-Mar,FIP 129,Thu,1899-12-30 12:30:00,1899-12-30 14:00:00
35,FIP 133,Fri,1899-12-30 12:30:00,1899-12-30 16:30:00
35,ASC 130,Thu,1899-12-30 8:30:00,1899-12-30 12:30:00
52,ART 386,Mon;Tue;Wed;Thu;Fri,1899-12-30 7:00:00,1899-12-30 22:00:00
47,EME 0050,Fri,1899-12-30 9:00:00,1899-12-30 12:00:00
27,ART 103,Wed,1899-12-30 20:00:00,1899-12-30 22:00:00
28,ART 208,Fri,1899-12-30 16:30:00,1899-12-30 20:00:00
36,FIP 133,Mon,1899-12-30 8:30:00,1899-12-30 12:30:00
39-44; 46-51,FIP 121,Mon;Tue;Wed;Thu;Fri,1899-12-30 7:00:00,1899-12-30 22:00:00
34-36,ART 102,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
16,ART 102,Mon;Tue;Wed;Thu;Fri;Sat,1899-12-30 15:00:00,1899-12-30 21:00:00
34,ASC 130,Wed,1899-12-30 17:30:00,1899-12-30 21:30:00
8,EME 2202,Thu,1899-12-30 17:00:00,1899-12-30 19:00:00
34,ASC 130,Wed,1899-12-30 12:30:00,1899-12-30 16:30:00
9,FIP 239,Wed,1899-12-30 9:30:00,1899-12-30 10:30:00
24,EME 2181,Fri,1899-12-30 17:00:00,1899-12-30 22:00:00
17,ART 204,Thu,1899-12-30 12:30:00,1899-12-30 16:30:00
20-25; 27-33,FIP 138,Mon,1899-12-30 13:30:00,1899-12-30 15:30:00
24,EME 2111,Fri,1899-12-30 17:00:00,1899-12-30 22:00:00
14-Dec,FIP 133,Wed,1899-12-30 15:30:00,1899-12-30 16:30:00
17,LIB L317,Wed,1899-12-30 17:30:00,1899-12-30 21:30:00
29,ART 110,Fri,1899-12-30 16:30:00,1899-12-30 20:00:00
11,EME 2181,Mon,1899-12-30 9:00:00,1899-12-30 10:30:00
9,SCI 236,Thu,1899-12-30 9:30:00,1899-12-30 11:30:00
29,ART 112,Fri,1899-12-30 16:30:00,1899-12-30 20:00:00
35,EME 1121,Thu,1899-12-30 12:30:00,1899-12-30 16:30:00
1,ART 106,Tue,1899-12-30 14:00:00,1899-12-30 17:00:00
20-25; 27-33,SCI 236,Mon,1899-12-30 9:30:00,1899-12-30 10:30:00
4,ART 112,Wed,1899-12-30 10:30:00,1899-12-30 12:30:00
22,ART 108,Wed,1899-12-30 11:30:00,1899-12-30 12:30:00
12,EME 2111,Thu,1899-12-30 14:00:00,1899-12-30 17:00:00
41,EME 2181,Thu,1899-12-30 13:00:00,1899-12-30 16:00:00
9,ASC 165,Tue;Wed;Thu;Fri,1899-12-30 8:00:00,1899-12-30 9:00:00
29,ART 110,Mon,1899-12-30 17:00:00,1899-12-30 20:00:00
35,ASC 140,Tue,1899-12-30 12:30:00,1899-12-30 16:30:00
36,FIP 204,Mon,1899-12-30 8:30:00,1899-12-30 12:30:00
16,SCI 337,Fri,1899-12-30 8:30:00,1899-12-30 12:00:00
34-36,ART 102,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
12,ART 382,Mon,1899-12-30 16:00:00,1899-12-30 18:00:00
13,ART 208,Mon,1899-12-30 9:30:00,1899-12-30 11:30:00
15-Mar,ART 208,Mon;Wed;Fri,1899-12-30 11:30:00,1899-12-30 12:30:00
16,ART 281,Mon;Tue;Wed;Thu;Fri;Sat,1899-12-30 15:00:00,1899-12-30 21:00:00
35,ART 203,Wed,1899-12-30 8:30:00,1899-12-30 12:30:00
36,ART 208,Mon,1899-12-30 8:30:00,1899-12-30 12:30:00
