1,"46-51","EME 2111","Mon;Thu",1899-12-30 8:30:00,1899-12-30 12:00:00
2,"20-25; 27-33","SCI 396","Mon;Wed",1899-12-30 14:00:00,1899-12-30 15:30:00
3,"37","ART 203","Mon;Tue;Wed;Thu;Fri;Sat;Sun",1899-12-30 7:00:00,1899-12-30 22:00:00
4,"20-25; 27-33","ART 206","Mon;Wed;Fri",1899-12-30 11:30:00,1899-12-30 12:30:00
5,"17","LIB L317","Mon;Tue;Fri",1899-12-30 8:30:00,1899-12-30 12:30:00
6,"3-15","SCI 236","Mon;Wed;Fri",1899-12-30 11:30:00,1899-12-30 12:30:00
7,"3-15","EME 0050","Tue;Thu",1899-12-30 14:00:00,1899-12-30 15:30:00
8,"11","ART 102","Tue",1899-12-30 17:00:00,1899-12-30 18:00:00
9,"3-15","ART 382","Tue;Thu",1899-12-30 9:30:00,1899-12-30 11:00:00
10,"20-25; 27-33","EME 2141","Fri",1899-12-30 11:30:00,1899-12-30 13:30:00
11,"47-52","ART 281","Mon;Tue;Wed;Thu;Fri;Sat;Sun",1899-12-30 7:00:00,1899-12-30 22:00:00
12,"26","ART 366","Wed",1899-12-30 7:00:00,1899-12-30 17:00:00
13,"9","ART 114","Mon",1899-12-30 11:30:00,1899-12-30 12:30:00
14,"35","ART 208","Mon",1899-12-30 17:00:00,1899-12-30 19:00:00
15,"20-25; 27-33","FIP 138","Mon",1899-12-30 11:30:00,1899-12-30 12:30:00
16,"20-25; 27-33","EME 1153","Tue;Thu",1899-12-30 12:30:00,1899-12-30 14:00:00
17,"20-25; 27-33","EME 1151","Mon;Wed;Fri",1899-12-30 14:30:00,1899-12-30 15:30:00
18,"22","ART 202","Fri",1899-12-30 13:00:00,1899-12-30 15:30:00
19,"5-15","ART 204","Wed",1899-12-30 9:30:00,1899-12-30 11:00:00
20,"11","ART 112","Fri",1899-12-30 14:30:00,1899-12-30 18:00:00
