Weeks,Location,Day,Start Time,End Time
5,FIP 124,Fri,15:30,17:00
15-Mar,ART 110,Mon;Wed,10:30,11:30
14,LIB 303,Thu,15:30,16:30
26,SCI 247,Mon;Tue;Wed;Thu;Fri,8:00,16:00
7,ART 108,Fri,13:30,16:30
34-36,EME 1151,Mon;Tue;Wed;Thu;Fri,7:00,22:00
35,SCI 247,Thu,17:30,21:30
20-25;27-33,LIB L305,Wed;Fri,12:30,14:00
12,ART 108,Mon,9:00,10:00
1,ART 103,Thu;Fri;Sat;Sun,7:00,22:00
1,ART 281,Thu;Fri;Sat;Sun,7:00,22:00
34-36,ART 202,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
8,EME 2181,Fri,9:00,12:00
6,EME 2181,Tue,11:00,12:30
16,EME 2181,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
26,ART 203,Thu,9:00,10:00
20-25;27-33,ART 108,Tue;Thu,9:30,11:00
30,EME 1121,Fri,16:30,21:00
46-51,FIP 138,Mon,12:30,14:00
5,ART 376,Thu;Fri,14:00,15:00
27,ART 206,Wed,17:00,20:00
37-50,LIB L305,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
5,FIP 204,Mon,17:00,18:30
34-36,FIP 124,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
16,EME 1101,Fri;Sat;Sun,9:00,21:00
6,FIP 138,Sat,11:00,19:00
37-50,LIB L304,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,ART 202,Mon;Wed,10:30,12:00
15-Mar,ART 106,Tue;Thu,12:30,14:00
1,ART 204,Thu;Fri;Sat;Sun,7:00,22:00
16,ART 106,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
20-25;27-33,FIP 133,Tue,15:30,16:30
14,ART 104,Sat,7:00,16:00
1,ART 202,Thu;Fri;Sat;Sun,7:00,22:00
15-Feb,LIB L305,Fri,17:00,22:00
34,ART 386,Wed,17:30,21:30
7,ART 376,Mon,12:30,14:00
34-36,ART 104,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20;22;24;28;30;32,EME 2205,Mon,14:30,16:30
20-25;27-33,FIP 140,Mon;Wed,12:30,14:00
20-25;27-33,FIP 129,Wed,18:00,19:00
15-Mar,EME 1101,Tue;Thu,9:30,11:00
51-52,LIB L304,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15,EME 1153,Thu,12:30,15:30
34,ART 366,Mon,17:30,21:30
15-Mar,ART 102,Mon,14:00,15:00
24,ART 218,Mon,9:30,11:00
18,SCI 236,Mon,13:00,14:30
27,ART 202,Tue,12:30,17:00
34-36,ART 106,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
26,FIP 139,Wed,13:30,16:30
15-Mar,ART 366,Tue;Thu,15:30,17:00
18,ART 203,Tue,12:30,19:30
38,ART 104,Sat,12:00,12:30
15-May,FIP 124,Wed,14:00,15:30
21;23;25;27;29;31;33,ART 210,Fri,11:30,13:30
20,EME 1121,Sat,7:00,15:00
17,FIP 121,Tue;Wed;Sat,12:30,16:30
24,EME 0050,Fri,13:00,13:30
34,EME 0050,Mon,17:30,21:30
10,LIB L312,Wed,19:30,21:00
34-36,ART 202,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
35,FIP 140,Tue,12:30,16:30
15-Mar,EME 0050,Mon;Wed,17:00,18:30
26,EME 2141,Wed,7:00,16:30
20-25;27-33,EME 2181,Tue;Thu,12:30,14:00
35,SCI 247,Sat,17:30,21:30
8,LIB 303,Thu,14:00,16:00
28,ART 382,Mon,9:30,11:00
13,ART 112,Wed,11:00,12:30
37-52,LIB L302,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
34-36,ART 112,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
34-36,FIP 124,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
13,SCI 236,Thu,9:30,11:30
20-25;27-33,ART 210,Mon;Wed;Fri,10:30,11:30
30,LIB L312,Fri,12:00,17:00
10,EME 2181,Fri,8:30,10:00
37-50,LIB L306,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
14,ART 108,Sat,7:00,16:00
27,ART 104,Wed,9:30,12:00
17,SCI 396,Thu,12:30,18:00
15-Mar,EME 0050,Tue;Thu,8:00,9:30
10,EME 1101,Sat,7:00,17:00
14,FIP 121,Sun,12:30,17:30
20-25;27-33,ART 202,Wed,17:00,20:00
23,ART 106,Mon,15:00,16:30
20-25;27-33,SCI 236,Tue;Thu,14:00,15:30
38,ART 110,Sat,12:00,12:30
38,ART 374,Sat,12:00,12:30
26,ART 210,Wed,10:00,14:00
10,FIP 139,Thu,13:00,15:30
25,ART 219,Thu,11:00,13:30
29,ART 112,Fri,16:30,20:00
34-36,ART 110,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,ART 376,Tue;Thu,12:30,14:00
20-25;27-33,ART 214,Tue;Thu,14:00,15:30
20-25;27-33,EME 2111,Tue;Thu,11:00,12:30
28,ART 108,Mon,11:00,12:30
34,EME 0050,Mon,8:30,12:30
5,FIP 121,Sat,7:00,20:00
12,ART 202,Mon,9:30,11:30
20-25;27-33,FIP 139,Wed;Fri,14:00,15:30
15-Mar,ART 106,Mon;Wed,12:30,14:00
29,LIB L305,Thu,17:00,22:00
11,ASC 130,Thu,9:30,10:30
22,ART 208,Sat,7:00,18:00
34,LIB L312,Wed,17:30,21:30
9,FIP 204,Sat,8:00,21:00
36,EME 1121,Tue,12:30,16:30
34-44,EME 1151,Sat,9:00,16:00
1,ART 382,Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,SCI 333,Tue;Thu,12:30,14:00
20-25;27-33,EME 1153,Tue;Thu,12:30,14:00
15-Mar,FIP 139,Tue,11:30,14:30
20-25;27-33,ART 108,Tue;Thu,12:30,14:00
4;14,FIP 138,Fri,9:30,11:00
8,ART 103,Fri,9:00,12:00
16,ART 202,Thu,12:30,16:00
11,ART 108,Fri,12:30,15:30
29,ART 204,Fri,16:30,20:00
35,ART 215,Fri,12:30,16:30
8,ART 106,Fri,12:30,14:30
36,EME 2205,Mon,8:30,12:30
15-Mar,SCI 234,Fri,14:30,15:30
15-Mar,FIP 140,Mon;Wed;Fri,11:30,12:30
24,ART 203,Fri,14:00,18:00
5,EME 0050,Sat,11:00,14:00
20-25;27-33,ART 104,Wed;Fri,8:00,9:30
15-Mar,LIB L312,Mon;Wed;Fri,11:30,12:30
27,ART 206,Fri,13:30,19:00
17,ART 366,Tue,8:30,12:30
26,ART 206,Wed,10:00,14:00
28,ART 204,Fri,16:30,20:00
16,EME 2111,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,SCI 234,Tue,12:00,13:00
34,EME 1121,Tue,8:30,12:30
15-Mar,ASC 130,Mon;Wed;Fri,9:30,10:30
2,ART 204,Mon,7:00,22:00
37,FIP 204,Fri,7:00,22:00
14-Dec,ART 382,Fri,13:30,15:30
15,FIP 250,Sat,7:00,22:00
25;28;32,EME 1151,Wed,18:00,20:00
2-Jan,SCI 396,Mon;Tue;Wed;Thu;Fri,8:00,12:00
15-Mar,FIP 204,Tue;Thu,8:00,9:30
27,EME 2202,Thu,9:30,12:30
15-Mar,EME 2141,Mon;Wed,15:30,17:00
17,FIP 140,Thu,12:30,19:00
27,ART 215,Tue,15:30,18:00
38,ART 365,Sat,16:30,17:30
27,ART 106,Wed,14:30,15:30
13-Oct,EME 1101,Thu,19:30,21:30
15-Apr,EME 1151,Mon,11:30,12:30
17,EME 1151,Fri,16:00,21:30
34,SCI 337,Thu,12:30,16:30
20-25;27-33,LIB L302,Tue;Thu,12:30,14:00
20-25;27-33,ART 112,Tue;Thu,9:30,11:00
15-Mar,ART 208,Mon;Wed;Fri,11:30,12:30
20-25;27-33,SCI 236,Tue;Thu,12:30,14:00
34-36,ART 206,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
26,ART 366,Wed,7:00,17:00
46-51,SCI 247,Tue;Wed;Fri,8:30,11:00
15-Mar,SCI 337,Mon;Wed,17:00,18:30
20-25;27-33,ART 206,Fri,10:30,11:30
34,ASC 165,Tue,12:30,16:30
13,ART 112,Fri,7:30,17:00
25,ART 203,Tue,7:00,9:00
34,EME 2111,Mon,17:30,21:30
22,ART 204,Tue,15:00,20:00
34-36,ART 108,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,EME 2111,Tue;Thu,12:30,14:00
34,FIP 129,Wed,8:30,12:30
20-25;27-33,LIB L317,Tue;Thu,12:30,14:00
27,ART 365,Thu,19:00,21:30
15-Mar,ART 365,Mon;Wed;Fri,8:30,9:30
21-28,LIB L305,Mon,16:00,19:00
2,LIB L312,Tue,8:30,12:30
27,ART 203,Thu,18:00,21:00
35,FIP 140,Fri,12:30,16:30
28,ART 219,Thu,11:00,13:00
1,ART 281,Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,FIP 140,Fri,9:30,10:30
16,ART 376,Thu,12:30,13:30
10,ART 202,Mon,8:30,12:30
27,FIP 140,Sat,13:00,16:00
15-Mar,SCI 236,Fri,13:30,14:30
18,ART 106,Mon,8:30,13:30
9,ASC 130,Thu,16:00,17:30
30,LIB L317,Wed,17:00,20:30
1,ART 208,Thu;Fri;Sat;Sun,7:00,22:00
9,ASC 140,Mon,18:30,22:00
20-25;27-33,LIB L317,Mon;Wed;Fri,8:30,9:30
20-25;27-33,ASC 130,Tue;Thu,12:30,14:00
16,ART 106,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
1,ART 110,Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,ART 210,Mon;Wed,12:30,14:00
46-51,ART 104,Tue;Wed;Fri,8:30,11:00
1,ART 103,Thu;Fri;Sat;Sun,7:00,22:00
11,LIB L317,Wed,16:30,19:00
17,ART 382,Wed,12:30,17:30
1,ART 376,Thu;Fri;Sat;Sun,7:00,22:00
13,ART 382,Wed,15:30,17:30
10,ART 208,Mon,9:30,11:00
15-Mar,EME 2205,Fri,11:30,12:30
20-25;27-33,ART 365,Mon;Wed,12:30,14:00
33,EME 1151,Fri,8:00,17:00
35,SCI 247,Thu,17:30,21:30
26,ART 210,Wed,10:00,14:00
15-Mar,ASC 165,Mon,14:00,17:00
